ICB23CD,ICB23NM,Der_Financial_Year,EC_Department_Type,mh_snomed,mhsds_flag,attends,left_b4_completion
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2022/23,5,0,1,2,0
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2023/24,4,0,0,120,6
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2021/22,1,1,1,1663,269
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2019/20,4,0,1,125,4
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2023/24,3,0,0,22049,193
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2020/21,4,0,0,1599,13
E54000027,NHS North West London Integrated Care Board,2022/23,4,0,0,11191,337
E54000031,NHS South West London Integrated Care Board,2019/20,3,1,1,32,2
E54000013,NHS Lincolnshire Integrated Care Board,2023/24,1,0,0,32389,1040
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2022/23,5,0,1,19,0
E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,2022/23,3,0,0,30871,1955
E54000031,NHS South West London Integrated Care Board,2019/20,1,0,0,100017,2323
