ICB23CD,ICB23NM,Der_Financial_Year,EC_Department_Type,mh_snomed,mhsds_flag,attends,left_b4_completion
E54000055,NHS Birmingham and Solihull Integrated Care Board,2021/22,3,0,1,1745,38
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2021/22,4,1,0,1,0
E54000026,NHS Mid and South Essex Integrated Care Board,2023/24,5,1,1,1,0
E54000063,NHS Surrey Heartlands Integrated Care Board,2022/23,4,1,0,3,0
E54000027,NHS North West London Integrated Care Board,2021/22,3,1,0,161,0
E54000055,NHS Birmingham and Solihull Integrated Care Board,2021/22,5,0,0,3,0
E54000026,NHS Mid and South Essex Integrated Care Board,2019/20,3,1,1,14,1
E54000061,NHS South Yorkshire Integrated Care Board,2023/24,1,0,1,32099,3261
E54000026,NHS Mid and South Essex Integrated Care Board,2021/22,3,0,1,1443,60
E54000032,NHS Kent and Medway Integrated Care Board,2022/23,3,1,0,148,1
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2022/23,3,1,1,30,1
E54000062,NHS Black Country Integrated Care Board,2022/23,5,0,0,14,0
E54000050,NHS North East and North Cumbria Integrated Care Board,2023/24,4,0,0,1405,100
E54000029,NHS North East London Integrated Care Board,2020/21,3,0,1,7201,160
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2021/22,1,1,1,1258,21
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2022/23,1,0,0,94560,5810
E54000043,NHS Gloucestershire Integrated Care Board,2021/22,3,1,1,14,0
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2023/24,5,1,0,1,0
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2022/23,3,1,1,29,1
E54000057,NHS Greater Manchester Integrated Care Board,2022/23,4,1,1,22,0
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2020/21,3,1,0,2,0
E54000022,NHS Norfolk and Waveney Integrated Care Board,2022/23,3,1,1,4,0
E54000055,NHS Birmingham and Solihull Integrated Care Board,2021/22,4,1,1,1,0
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2022/23,3,0,0,1691,84
E54000027,NHS North West London Integrated Care Board,2022/23,5,1,1,4,1
E54000057,NHS Greater Manchester Integrated Care Board,2021/22,1,0,0,265409,34537
E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,2021/22,3,0,1,7339,366
E54000043,NHS Gloucestershire Integrated Care Board,2021/22,3,0,0,10609,136
