ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
LC2109EWls0076,Count,Person,"Age 8 to 9, White: Irish"
LC2109EWls0077,Count,Person,"Age 8 to 9, White: Gypsy or Irish Traveller"
LC2109EWls0078,Count,Person,"Age 8 to 9, White: Other White"
LC2109EWls0079,Count,Person,"Age 8 to 9, Mixed/multiple ethnic group: Total"
LC2109EWls0080,Count,Person,"Age 8 to 9, Mixed/multiple ethnic group: White and Black Caribbean"
LC2109EWls0081,Count,Person,"Age 8 to 9, Mixed/multiple ethnic group: White and Black African"
LC2109EWls0082,Count,Person,"Age 8 to 9, Mixed/multiple ethnic group: White and Asian"
LC2109EWls0083,Count,Person,"Age 8 to 9, Mixed/multiple ethnic group: Other Mixed"
LC2109EWls0084,Count,Person,"Age 8 to 9, Asian/Asian British: Total"
LC2109EWls0085,Count,Person,"Age 8 to 9, Asian/Asian British: Indian"
LC2109EWls0086,Count,Person,"Age 8 to 9, Asian/Asian British: Pakistani"
LC2109EWls0087,Count,Person,"Age 8 to 9, Asian/Asian British: Bangladeshi"
LC2109EWls0088,Count,Person,"Age 8 to 9, Asian/Asian British: Chinese"
LC2109EWls0089,Count,Person,"Age 8 to 9, Asian/Asian British: Other Asian"
LC2109EWls0090,Count,Person,"Age 8 to 9, Black/African/Caribbean/Black British: Total"
LC2109EWls0091,Count,Person,"Age 8 to 9, Black/African/Caribbean/Black British: African"
LC2109EWls0092,Count,Person,"Age 8 to 9, Black/African/Caribbean/Black British: Caribbean"
LC2109EWls0093,Count,Person,"Age 8 to 9, Black/African/Caribbean/Black British: Other Black"
LC2109EWls0094,Count,Person,"Age 8 to 9, Other ethnic group: Total"
LC2109EWls0095,Count,Person,"Age 8 to 9, Other ethnic group: Arab"
LC2109EWls0096,Count,Person,"Age 8 to 9, Other ethnic group: Any other ethnic group"
LC2109EWls0097,Count,Person,"Age 10 to 14, All categories: Ethnic group"
LC2109EWls0098,Count,Person,"Age 10 to 14, White: Total"
LC2109EWls0099,Count,Person,"Age 10 to 14, White: English/Welsh/Scottish/Northern Irish/British"
LC2109EWls0100,Count,Person,"Age 10 to 14, White: Irish"
LC2109EWls0101,Count,Person,"Age 10 to 14, White: Gypsy or Irish Traveller"
LC2109EWls0102,Count,Person,"Age 10 to 14, White: Other White"
LC2109EWls0103,Count,Person,"Age 10 to 14, Mixed/multiple ethnic group: Total"
LC2109EWls0104,Count,Person,"Age 10 to 14, Mixed/multiple ethnic group: White and Black Caribbean"
LC2109EWls0105,Count,Person,"Age 10 to 14, Mixed/multiple ethnic group: White and Black African"
LC2109EWls0106,Count,Person,"Age 10 to 14, Mixed/multiple ethnic group: White and Asian"
LC2109EWls0107,Count,Person,"Age 10 to 14, Mixed/multiple ethnic group: Other Mixed"
LC2109EWls0108,Count,Person,"Age 10 to 14, Asian/Asian British: Total"
LC2109EWls0109,Count,Person,"Age 10 to 14, Asian/Asian British: Indian"
LC2109EWls0110,Count,Person,"Age 10 to 14, Asian/Asian British: Pakistani"
LC2109EWls0111,Count,Person,"Age 10 to 14, Asian/Asian British: Bangladeshi"
LC2109EWls0112,Count,Person,"Age 10 to 14, Asian/Asian British: Chinese"
LC2109EWls0113,Count,Person,"Age 10 to 14, Asian/Asian British: Other Asian"
LC2109EWls0114,Count,Person,"Age 10 to 14, Black/African/Caribbean/Black British: Total"
LC2109EWls0115,Count,Person,"Age 10 to 14, Black/African/Caribbean/Black British: African"
LC2109EWls0116,Count,Person,"Age 10 to 14, Black/African/Caribbean/Black British: Caribbean"
LC2109EWls0117,Count,Person,"Age 10 to 14, Black/African/Caribbean/Black British: Other Black"
LC2109EWls0118,Count,Person,"Age 10 to 14, Other ethnic group: Total"
LC2109EWls0119,Count,Person,"Age 10 to 14, Other ethnic group: Arab"
LC2109EWls0120,Count,Person,"Age 10 to 14, Other ethnic group: Any other ethnic group"
LC2109EWls0121,Count,Person,"Age 15, All categories: Ethnic group"
LC2109EWls0122,Count,Person,"Age 15, White: Total"
LC2109EWls0123,Count,Person,"Age 15, White: English/Welsh/Scottish/Northern Irish/British"
LC2109EWls0124,Count,Person,"Age 15, White: Irish"
LC2109EWls0125,Count,Person,"Age 15, White: Gypsy or Irish Traveller"
LC2109EWls0126,Count,Person,"Age 15, White: Other White"
