ICB23CD,ICB23NM,Der_Financial_Year,EC_Department_Type,toa,mh_snomed,attends
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2020/21,1,10,1,33
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2022/23,1,10,1,51
E54000030,NHS South East London Integrated Care Board,2023/24,1,16,1,115
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2023/24,1,15,0,14635
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2023/24,3,12,0,6922
E54000027,NHS North West London Integrated Care Board,2022/23,1,8,1,45
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,4,10,1,9
E54000058,NHS Derby and Derbyshire Integrated Care Board,2021/22,3,21,1,18
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2022/23,3,12,1,11
E54000043,NHS Gloucestershire Integrated Care Board,2022/23,3,18,0,1384
E54000041,NHS Dorset Integrated Care Board,2020/21,1,17,0,2534
E54000062,NHS Black Country Integrated Care Board,2023/24,1,2,0,1757
E54000031,NHS South West London Integrated Care Board,2022/23,3,2,0,141
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2023/24,1,22,1,63
E54000022,NHS Norfolk and Waveney Integrated Care Board,2023/24,5,13,0,596
E54000027,NHS North West London Integrated Care Board,2021/22,1,21,1,99
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2020/21,1,5,1,12
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2019/20,1,5,0,764
E54000028,NHS North Central London Integrated Care Board,2022/23,1,23,1,50
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2022/23,1,14,1,84
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2021/22,1,0,1,63
E54000058,NHS Derby and Derbyshire Integrated Care Board,2021/22,5,12,1,2
E54000050,NHS North East and North Cumbria Integrated Care Board,2019/20,3,10,0,6678
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2023/24,1,14,0,5363
E54000034,NHS Frimley Integrated Care Board,2023/24,1,11,1,18
E54000034,NHS Frimley Integrated Care Board,2019/20,3,16,0,94
E54000043,NHS Gloucestershire Integrated Care Board,2023/24,1,2,0,695
E54000037,NHS Devon Integrated Care Board,2020/21,1,6,0,370
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2023/24,5,5,0,20
E54000062,NHS Black Country Integrated Care Board,2022/23,4,14,0,13
E54000028,NHS North Central London Integrated Care Board,2022/23,3,10,1,9
E54000032,NHS Kent and Medway Integrated Care Board,2023/24,1,0,0,3925
E54000054,NHS West Yorkshire Integrated Care Board,2023/24,3,4,0,141
E54000057,NHS Greater Manchester Integrated Care Board,2022/23,4,13,1,4
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2022/23,5,14,0,3
E54000063,NHS Surrey Heartlands Integrated Care Board,2023/24,3,19,1,3
E54000059,NHS Northamptonshire Integrated Care Board,2023/24,5,19,1,1
E54000032,NHS Kent and Medway Integrated Care Board,2023/24,5,23,0,1
E54000027,NHS North West London Integrated Care Board,2019/20,5,12,0,3
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2020/21,3,5,1,1
E54000055,NHS Birmingham and Solihull Integrated Care Board,2020/21,4,18,0,2
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,2019/20,3,1,0,6
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2022/23,4,12,1,1
E54000031,NHS South West London Integrated Care Board,2023/24,3,3,1,4
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2019/20,3,17,1,1
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2022/23,5,0,0,1
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2021/22,5,14,0,2
E54000038,NHS Somerset Integrated Care Board,2020/21,4,17,0,1
E54000029,NHS North East London Integrated Care Board,2020/21,4,19,0,3
E54000026,NHS Mid and South Essex Integrated Care Board,2023/24,5,23,0,1
E54000054,NHS West Yorkshire Integrated Care Board,2020/21,5,9,0,1
E54000028,NHS North Central London Integrated Care Board,2021/22,3,8,0,2101
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2021/22,3,20,0,3918
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2019/20,1,11,1,38
E54000013,NHS Lincolnshire Integrated Care Board,2022/23,3,7,0,526
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2022/23,1,3,1,44
E54000059,NHS Northamptonshire Integrated Care Board,2021/22,3,16,1,25
E54000055,NHS Birmingham and Solihull Integrated Care Board,2020/21,3,10,0,150
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2019/20,4,7,0,14
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2023/24,5,20,0,18
E54000022,NHS Norfolk and Waveney Integrated Care Board,2022/23,3,12,0,594
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2022/23,5,20,0,74
E54000032,NHS Kent and Medway Integrated Care Board,2022/23,5,10,0,7
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2020/21,3,15,0,143
E54000034,NHS Frimley Integrated Care Board,2023/24,4,11,0,107
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2023/24,3,23,0,58
E54000034,NHS Frimley Integrated Care Board,2023/24,4,9,0,116
E54000057,NHS Greater Manchester Integrated Care Board,2019/20,1,7,0,3827
E54000013,NHS Lincolnshire Integrated Care Board,2020/21,1,13,1,44
E54000030,NHS South East London Integrated Care Board,2021/22,3,10,1,15
E54000038,NHS Somerset Integrated Care Board,2022/23,1,2,1,6
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2019/20,1,7,0,1224
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2023/24,3,4,0,77
E54000057,NHS Greater Manchester Integrated Care Board,2020/21,1,18,1,313
E54000062,NHS Black Country Integrated Care Board,2020/21,3,16,0,903
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2023/24,1,11,1,49
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2019/20,4,12,0,16
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2019/20,3,16,0,2024
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2019/20,3,16,0,3704
E54000030,NHS South East London Integrated Care Board,2022/23,4,18,0,11
E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,2021/22,1,20,1,46
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2023/24,1,23,0,552
E54000027,NHS North West London Integrated Care Board,2019/20,3,17,0,10065
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2020/21,1,23,0,691
E54000023,NHS Suffolk and North East Essex Integrated Care Board,2019/20,3,19,0,1281
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2023/24,1,9,1,43
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2022/23,1,4,0,1066
E54000050,NHS North East and North Cumbria Integrated Care Board,2023/24,1,23,0,9315
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2022/23,1,13,0,4885
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2019/20,3,1,0,19
E54000062,NHS Black Country Integrated Care Board,2023/24,1,19,1,112
E54000028,NHS North Central London Integrated Care Board,2020/21,1,5,1,29
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,2023/24,5,2,0,6
E54000031,NHS South West London Integrated Care Board,2020/21,4,15,0,558
E54000061,NHS South Yorkshire Integrated Care Board,2019/20,4,18,0,16
E54000062,NHS Black Country Integrated Care Board,2021/22,3,4,0,120
E54000062,NHS Black Country Integrated Care Board,2023/24,3,8,0,5726
E54000061,NHS South Yorkshire Integrated Care Board,2021/22,1,0,0,3928
E54000034,NHS Frimley Integrated Care Board,2021/22,1,14,0,4173
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2020/21,1,4,0,606
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2019/20,1,0,1,53
E54000043,NHS Gloucestershire Integrated Care Board,2020/21,1,14,1,15
E54000013,NHS Lincolnshire Integrated Care Board,2023/24,1,6,1,8
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2021/22,3,12,0,160
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2022/23,5,20,0,11
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2020/21,1,20,0,5101
E54000027,NHS North West London Integrated Care Board,2023/24,1,7,0,2396
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2019/20,3,4,0,11
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2020/21,1,14,0,5403
E54000058,NHS Derby and Derbyshire Integrated Care Board,2021/22,1,14,0,4524
E54000054,NHS West Yorkshire Integrated Care Board,2021/22,4,19,0,63
E54000059,NHS Northamptonshire Integrated Care Board,2023/24,1,4,0,780
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2020/21,4,10,0,106
E54000063,NHS Surrey Heartlands Integrated Care Board,2022/23,3,19,1,3
E54000057,NHS Greater Manchester Integrated Care Board,2022/23,3,9,1,10
E54000064,NHS Sussex Integrated Care Board,2021/22,3,17,0,5487
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2019/20,1,2,0,509
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2022/23,5,15,0,2
E54000031,NHS South West London Integrated Care Board,2022/23,3,0,0,260
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2022/23,3,20,1,3
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,2020/21,5,15,0,12
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2023/24,3,16,1,4
E54000055,NHS Birmingham and Solihull Integrated Care Board,2022/23,5,12,0,3
E54000026,NHS Mid and South Essex Integrated Care Board,2023/24,3,9,0,590
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2020/21,3,20,0,94
E54000027,NHS North West London Integrated Care Board,2019/20,1,14,1,89
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,2020/21,5,20,0,18
E54000055,NHS Birmingham and Solihull Integrated Care Board,2023/24,5,23,0,2
E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,2019/20,1,7,1,10
E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,2023/24,1,7,1,7
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,2019/20,1,6,1,5
E54000050,NHS North East and North Cumbria Integrated Care Board,2020/21,3,2,1,4
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2019/20,3,10,1,1
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2023/24,4,13,0,9
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2019/20,3,8,1,1
E54000063,NHS Surrey Heartlands Integrated Care Board,2021/22,5,17,1,1
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2020/21,3,8,1,2
E54000054,NHS West Yorkshire Integrated Care Board,2021/22,3,7,1,1
E54000061,NHS South Yorkshire Integrated Care Board,2021/22,1,22,1,102
E54000043,NHS Gloucestershire Integrated Care Board,2022/23,3,19,0,546
E54000064,NHS Sussex Integrated Care Board,2020/21,1,10,0,4317
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2022/23,3,9,0,2172
E54000043,NHS Gloucestershire Integrated Care Board,2020/21,1,13,0,1100
E54000041,NHS Dorset Integrated Care Board,2020/21,1,15,1,33
E54000027,NHS North West London Integrated Care Board,2020/21,4,8,0,102
E54000023,NHS Suffolk and North East Essex Integrated Care Board,2019/20,1,2,0,675
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2020/21,1,20,0,3583
E54000034,NHS Frimley Integrated Care Board,2019/20,3,13,1,1
E54000062,NHS Black Country Integrated Care Board,2019/20,3,1,0,213
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2023/24,3,21,0,21
E54000064,NHS Sussex Integrated Care Board,2023/24,1,10,0,5662
E54000062,NHS Black Country Integrated Care Board,2020/21,3,5,0,14
E54000022,NHS Norfolk and Waveney Integrated Care Board,2020/21,1,12,0,2859
E54000055,NHS Birmingham and Solihull Integrated Care Board,2019/20,3,3,0,62
E54000043,NHS Gloucestershire Integrated Care Board,2020/21,1,3,0,250
E54000027,NHS North West London Integrated Care Board,2019/20,3,20,0,7519
E54000062,NHS Black Country Integrated Care Board,2021/22,3,9,0,4515
E54000026,NHS Mid and South Essex Integrated Care Board,2020/21,3,16,1,3
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2023/24,1,2,0,1246
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2020/21,3,19,1,2
E54000063,NHS Surrey Heartlands Integrated Care Board,2019/20,3,0,0,51
E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,2019/20,3,1,0,22
E54000062,NHS Black Country Integrated Care Board,2023/24,5,13,0,4
E54000054,NHS West Yorkshire Integrated Care Board,2023/24,3,3,0,158
E54000013,NHS Lincolnshire Integrated Care Board,2021/22,1,4,0,582
E54000030,NHS South East London Integrated Care Board,2023/24,4,16,0,29
E54000050,NHS North East and North Cumbria Integrated Care Board,2022/23,1,9,0,12550
E54000022,NHS Norfolk and Waveney Integrated Care Board,2022/23,1,2,0,1179
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2022/23,4,15,0,25
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2022/23,3,7,0,148
E54000013,NHS Lincolnshire Integrated Care Board,2022/23,3,10,1,13
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2020/21,1,12,0,2035
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2019/20,3,6,0,16
E54000026,NHS Mid and South Essex Integrated Care Board,2022/23,4,19,0,3
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2021/22,1,13,0,1912
E54000029,NHS North East London Integrated Care Board,2021/22,3,21,0,3390
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2022/23,1,23,1,78
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2020/21,1,0,1,26
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2019/20,1,10,1,51
E54000059,NHS Northamptonshire Integrated Care Board,2023/24,3,0,0,48
E54000050,NHS North East and North Cumbria Integrated Care Board,2020/21,3,1,0,367
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2019/20,4,16,0,12
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2022/23,1,22,1,44
