ICB23CD,ICB23NM,Der_Financial_Year,EC_Department_Type,toa,mh_snomed,attends
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2023/24,1,18,1,184
E54000032,NHS Kent and Medway Integrated Care Board,2023/24,1,16,0,31922
E54000041,NHS Dorset Integrated Care Board,2023/24,1,7,0,4004
E54000029,NHS North East London Integrated Care Board,2020/21,1,2,0,7066
E54000031,NHS South West London Integrated Care Board,2021/22,1,5,0,5739
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2023/24,3,18,0,13944
E54000057,NHS Greater Manchester Integrated Care Board,2022/23,3,23,1,19
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2019/20,1,9,0,25907
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2021/22,3,6,0,428
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2021/22,3,5,0,10
E54000028,NHS North Central London Integrated Care Board,2022/23,1,7,0,8385
E54000057,NHS Greater Manchester Integrated Care Board,2023/24,5,17,0,2791
E54000062,NHS Black Country Integrated Care Board,2021/22,3,22,0,1877
E54000050,NHS North East and North Cumbria Integrated Care Board,2019/20,3,4,0,265
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2019/20,5,5,0,1
E54000059,NHS Northamptonshire Integrated Care Board,2020/21,3,2,0,9
E54000031,NHS South West London Integrated Care Board,2020/21,3,18,1,10
