ICB23CD,ICB23NM,Der_Financial_Year,EC_Department_Type,toa,mh_snomed,attends
E54000038,NHS Somerset Integrated Care Board,2020/21,1,12,1,52
E54000030,NHS South East London Integrated Care Board,2023/24,3,5,0,1454
E54000057,NHS Greater Manchester Integrated Care Board,2023/24,1,18,1,601
E54000027,NHS North West London Integrated Care Board,2021/22,1,16,1,458
E54000022,NHS Norfolk and Waveney Integrated Care Board,2021/22,5,20,1,6
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2023/24,1,21,1,164
E54000030,NHS South East London Integrated Care Board,2022/23,1,9,0,25385
E54000030,NHS South East London Integrated Care Board,2021/22,3,20,0,6466
E54000063,NHS Surrey Heartlands Integrated Care Board,2020/21,4,20,0,10
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2019/20,1,0,0,8651
E54000043,NHS Gloucestershire Integrated Care Board,2021/22,3,17,0,2873
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2021/22,5,6,0,1
E54000026,NHS Mid and South Essex Integrated Care Board,2022/23,3,4,1,1
E54000050,NHS North East and North Cumbria Integrated Care Board,2020/21,1,23,0,16996
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2023/24,1,1,0,5020
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2021/22,3,10,1,37
E54000031,NHS South West London Integrated Care Board,2019/20,3,17,1,24
E54000062,NHS Black Country Integrated Care Board,2019/20,4,18,0,1903
E54000028,NHS North Central London Integrated Care Board,2023/24,3,15,0,14342
E54000062,NHS Black Country Integrated Care Board,2022/23,3,3,0,501
E54000030,NHS South East London Integrated Care Board,2019/20,3,19,0,12423
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2023/24,3,23,0,416
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2022/23,3,21,1,17
E54000023,NHS Suffolk and North East Essex Integrated Care Board,2023/24,1,14,0,13671
E54000054,NHS West Yorkshire Integrated Care Board,2022/23,1,14,0,48198
E54000057,NHS Greater Manchester Integrated Care Board,2022/23,1,22,1,546
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2022/23,3,3,0,21
E54000028,NHS North Central London Integrated Care Board,2021/22,4,10,1,8
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2019/20,4,9,0,29
E54000023,NHS Suffolk and North East Essex Integrated Care Board,2023/24,4,13,0,16
E54000034,NHS Frimley Integrated Care Board,2020/21,1,23,0,4800
E54000064,NHS Sussex Integrated Care Board,2022/23,5,12,0,16
E54000031,NHS South West London Integrated Care Board,2023/24,3,10,1,17
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2021/22,1,9,0,13681
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2021/22,1,0,0,6576
E54000028,NHS North Central London Integrated Care Board,2019/20,1,19,0,16900
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2020/21,1,4,1,100
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,3,16,0,6369
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2023/24,3,15,0,8275
E54000058,NHS Derby and Derbyshire Integrated Care Board,2020/21,5,8,0,1
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2023/24,5,23,0,15
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2021/22,4,22,0,9
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2022/23,3,14,1,14
E54000027,NHS North West London Integrated Care Board,2019/20,5,19,0,4
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2023/24,3,13,0,21700
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2022/23,3,9,0,5942
E54000038,NHS Somerset Integrated Care Board,2019/20,1,18,0,8739
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2020/21,3,12,1,21
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2021/22,4,16,0,5
E54000055,NHS Birmingham and Solihull Integrated Care Board,2022/23,1,21,1,408
E54000013,NHS Lincolnshire Integrated Care Board,2023/24,3,22,0,2679
E54000057,NHS Greater Manchester Integrated Care Board,2021/22,3,1,0,461
E54000041,NHS Dorset Integrated Care Board,2020/21,1,1,0,3264
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2023/24,1,6,0,4547
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2023/24,3,10,1,37
E54000059,NHS Northamptonshire Integrated Care Board,2023/24,4,11,0,15
E54000055,NHS Birmingham and Solihull Integrated Care Board,2023/24,4,7,0,9
E54000063,NHS Surrey Heartlands Integrated Care Board,2019/20,3,21,1,5
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2023/24,5,9,1,1
E54000043,NHS Gloucestershire Integrated Care Board,2021/22,3,3,0,6
E54000030,NHS South East London Integrated Care Board,2019/20,5,10,0,2
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2023/24,4,7,0,8
E54000055,NHS Birmingham and Solihull Integrated Care Board,2022/23,3,10,1,2
E54000062,NHS Black Country Integrated Care Board,2019/20,4,21,0,2
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2022/23,3,3,1,6
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2023/24,5,6,1,1
E54000031,NHS South West London Integrated Care Board,2020/21,3,6,1,6
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2021/22,5,10,0,4
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2022/23,4,5,0,1
E54000037,NHS Devon Integrated Care Board,2022/23,4,19,0,1
E54000032,NHS Kent and Medway Integrated Care Board,2020/21,3,8,1,16
E54000027,NHS North West London Integrated Care Board,2019/20,3,8,1,20
E54000043,NHS Gloucestershire Integrated Care Board,2021/22,4,18,0,6
E54000058,NHS Derby and Derbyshire Integrated Care Board,2019/20,3,10,1,9
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2022/23,1,21,0,12050
E54000037,NHS Devon Integrated Care Board,2019/20,1,9,1,87
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2019/20,5,21,0,192
E54000063,NHS Surrey Heartlands Integrated Care Board,2023/24,3,16,1,5
E54000027,NHS North West London Integrated Care Board,2019/20,1,7,1,109
E54000038,NHS Somerset Integrated Care Board,2019/20,3,8,0,9768
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2023/24,1,3,0,3384
E54000057,NHS Greater Manchester Integrated Care Board,2019/20,5,2,0,2
E54000013,NHS Lincolnshire Integrated Care Board,2023/24,1,14,0,10723
E54000029,NHS North East London Integrated Care Board,2022/23,3,11,0,16005
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,2021/22,1,18,0,14723
E54000063,NHS Surrey Heartlands Integrated Care Board,2023/24,1,15,0,18432
E54000029,NHS North East London Integrated Care Board,2019/20,1,9,1,192
E54000032,NHS Kent and Medway Integrated Care Board,2019/20,1,4,1,119
E54000029,NHS North East London Integrated Care Board,2023/24,3,3,1,15
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2021/22,1,10,1,164
E54000013,NHS Lincolnshire Integrated Care Board,2020/21,3,10,0,8274
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2022/23,1,1,1,102
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2020/21,1,17,1,185
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2020/21,3,8,0,3988
