age_group,ICB22CD,ICB22NM,SICBL22CD,SICBL22NM,IMD_Decile,rural_urban,gender,mh_symptom,mhsds_flag,Der_Financial_Year,MDS_Primary_Split,calls,cost
0-19,E54000054,NHS West Yorkshire Integrated Care Board,E38000190,NHS West Yorkshire ICB - 03R,4,Urban,male,0,0,2020/21,Ambulance Dispatches,18,288
75+,E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,E38000008,NHS Nottingham and Nottinghamshire ICB - 02Q,1,Rural,male,0,1,2021/22,Recommended to Attend A&E,2,48
0-19,E54000059,NHS Northamptonshire Integrated Care Board,E38000262,NHS Northamptonshire ICB - 78H,6,Rural,male,0,0,2021/22,Recommended to Attend A&E,134,2592
75+,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E38000052,NHS Humber and North Yorkshire ICB - 02Y,7,Urban,male,0,0,2021/22,Recommended to Attend A&E,36,612
75+,E54000008,NHS Cheshire and Merseyside Integrated Care Board,E38000161,NHS Cheshire and Merseyside ICB - 01T,NULL,Rural,female,0,0,2021/22,Ambulance Dispatches,3,36
75+,E54000027,NHS North West London Integrated Care Board,E38000256,NHS North West London ICB - W2U3Z,4,Rural,male,0,0,2020/21,NULL,1,12
35-59,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E38000119,NHS Humber and North Yorkshire ICB - 03H,2,Urban,male,0,0,2019/20,NULL,2,48
20-34,E54000027,NHS North West London Integrated Care Board,E38000256,NHS North West London ICB - W2U3Z,3,Urban,female,1,1,2021/22,Not Recommended to Attend Other Service,1,12
20-34,E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,E38000253,NHS Hampshire and Isle of Wight ICB - D9Y0V,5,Urban,female,1,0,2019/20,Recommended to Attend Primary and Community Care,16,240
60-74,E54000026,NHS Mid and South Essex Integrated Care Board,E38000106,NHS Mid and South Essex ICB - 06Q,5,Urban,female,0,0,2020/21,NULL,3,48
0-19,E54000053,NHS Sussex Integrated Care Board,E38000021,NHS Sussex ICB - 09D,6,Urban,female,0,1,2020/21,NULL,4,48
75+,E54000061,NHS South Yorkshire Integrated Care Board,E38000044,NHS South Yorkshire ICB - 02X,4,Urban,female,0,1,2020/21,Recommended to Attend Primary and Community Care,120,2208
0-19,E54000053,NHS Sussex Integrated Care Board,E38000235,NHS Sussex ICB - 97R,9,Urban,male,0,1,2021/22,Not Recommended to Attend Other Service,1,24
35-59,E54000038,NHS Somerset Integrated Care Board,E38000150,NHS Somerset ICB - 11X,6,Urban,female,0,0,2019/20,5.23 (Ambulance),7,96
35-59,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E38000028,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,6,Urban,male,0,1,2019/20,Recommended to Attend Other Service,4,84
20-34,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E38000050,NHS Lancashire and South Cumbria ICB - 01A,1,Urban,male,0,0,2021/22,5.26 (Other Service),103,2280
75+,E54000053,NHS Sussex Integrated Care Board,E38000235,NHS Sussex ICB - 97R,6,Rural,female,0,0,2019/20,Recommended to Attend Other Service,3,72
35-59,E54000054,NHS West Yorkshire Integrated Care Board,E38000190,NHS West Yorkshire ICB - 03R,8,Rural,male,0,0,2020/21,Recommended to Attend Other Service,3,72
20-34,E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,E38000249,NHS Bedfordshire Luton and Milton Keynes ICB - M1J4Y,5,Urban,female,0,0,2019/20,NULL,7,120
20-34,E54000058,NHS Derby and Derbyshire Integrated Care Board,E38000261,NHS Derby and Derbyshire ICB - 15M,10,Urban,male,0,1,2021/22,Recommended to Attend Primary and Community Care,218,4008
35-59,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E38000028,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,9,Urban,male,0,1,2021/22,NULL,5,72
0-19,E54000058,NHS Derby and Derbyshire Integrated Care Board,E38000261,NHS Derby and Derbyshire ICB - 15M,3,Urban,female,0,1,2021/22,5.26 (Other Service),59,1092
0-19,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E38000126,NHS Staffordshire and Stoke-on-Trent ICB - 05G,9,Rural,male,0,1,2020/21,Ambulance Dispatches,1,12
60-74,E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,E38000223,NHS Buckinghamshire Oxfordshire and Berkshire West ICB - 14Y,2,Urban,male,0,1,2020/21,5.23 (Ambulance),2,24
60-74,E54000043,NHS Gloucestershire Integrated Care Board,E38000062,NHS Gloucestershire ICB - 11M,5,Urban,male,0,1,2019/20,Recommended to Attend Other Service,1,12
35-59,E54000057,NHS Greater Manchester Integrated Care Board,E38000016,NHS Greater Manchester ICB - 00T,9,Urban,male,0,0,2019/20,Recommended to Attend Primary and Community Care,150,2880
75+,E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,E38000089,NHS Cornwall and the Isles of Scilly ICB - 11N,7,Urban,male,0,1,2020/21,Not Recommended to Attend Other Service,4,60
20-34,E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,E38000223,NHS Buckinghamshire Oxfordshire and Berkshire West ICB - 14Y,NULL,Urban,male,0,1,2020/21,Recommended to Attend Primary and Community Care,1299,15588
0-19,E54000032,NHS Kent and Medway Integrated Care Board,E38000237,NHS Kent and Medway ICB - 91Q,8,Urban,female,0,0,2020/21,Recommended to Attend Other Service,5,96
60-74,E54000055,NHS Birmingham and Solihull Integrated Care Board,E38000258,NHS Birmingham and Solihull ICB - 15E,6,Urban,male,0,0,2019/20,NULL,22,348
35-59,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E38000053,NHS Staffordshire and Stoke-on-Trent ICB - 05D,1,Urban,male,0,1,2020/21,Recommended to Attend Primary and Community Care,52,852
0-19,E54000057,NHS Greater Manchester Integrated Care Board,E38000080,NHS Greater Manchester ICB - 01D,NULL,Urban,female,0,1,2021/22,5.27b (Home Care),9,108
20-34,E54000023,NHS Suffolk and North East Essex Integrated Care Board,E38000086,NHS Suffolk and North East Essex ICB - 06L,5,Rural,female,0,0,2020/21,Recommended to Attend Primary and Community Care,259,4848
35-59,E54000061,NHS South Yorkshire Integrated Care Board,E38000006,NHS South Yorkshire ICB - 02P,1,Urban,female,0,0,2021/22,5.27b (Home Care),10,240
35-59,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E38000153,NHS Staffordshire and Stoke-on-Trent ICB - 05Q,8,Urban,female,0,1,2021/22,Not Recommended to Attend Other Service,28,432
20-34,E54000008,NHS Cheshire and Merseyside Integrated Care Board,E38000068,NHS Cheshire and Merseyside ICB - 01F,6,Rural,female,0,0,2019/20,Recommended to Attend A&E,2,24
35-59,E54000041,NHS Dorset Integrated Care Board,E38000045,NHS Dorset ICB - 11J,8,Rural,male,0,0,2020/21,Recommended to Attend Primary and Community Care,163,2184
20-34,E54000050,NHS North East and North Cumbria Integrated Care Board,E38000247,NHS North East and North Cumbria ICB - 16C,4,Urban,NULL,0,0,2019/20,Recommended to Attend A&E,1,24
0-19,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E38000015,NHS Lancashire and South Cumbria ICB - 00R,1,Urban,male,0,0,2021/22,5.23 (Ambulance),85,1992
20-34,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E38000173,NHS Staffordshire and Stoke-on-Trent ICB - 05V,4,Urban,male,0,0,2020/21,5.23 (Ambulance),6,108
75+,E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,E38000253,NHS Hampshire and Isle of Wight ICB - D9Y0V,5,Rural,male,0,0,2021/22,Recommended to Attend Other Service,15,228
0-19,E54000023,NHS Suffolk and North East Essex Integrated Care Board,E38000086,NHS Suffolk and North East Essex ICB - 06L,4,Urban,male,0,0,2020/21,Recommended to Attend A&E,79,1164
0-19,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E38000228,NHS Lancashire and South Cumbria ICB - 01K,3,Rural,NULL,0,1,2020/21,NULL,2,48
75+,E54000054,NHS West Yorkshire Integrated Care Board,E38000025,NHS West Yorkshire ICB - 02T,8,Rural,male,0,1,2020/21,5.26 (Other Service),1,12
35-59,E54000026,NHS Mid and South Essex Integrated Care Board,E38000185,NHS Mid and South Essex ICB - 07G,5,Rural,male,0,0,2021/22,5.26 (Other Service),8,108
35-59,E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,E38000136,NHS Buckinghamshire Oxfordshire and Berkshire West ICB - 10Q,9,Urban,female,1,1,2019/20,Recommended to Attend Primary and Community Care,19,228
60-74,E54000026,NHS Mid and South Essex Integrated Care Board,E38000168,NHS Mid and South Essex ICB - 99G,4,Urban,female,0,1,2019/20,Not Recommended to Attend Other Service,21,288
0-19,E54000061,NHS South Yorkshire Integrated Care Board,E38000146,NHS South Yorkshire ICB - 03N,7,Urban,female,0,1,2020/21,Ambulance Dispatches,2,36
60-74,E54000026,NHS Mid and South Essex Integrated Care Board,E38000030,NHS Mid and South Essex ICB - 99F,4,Urban,male,0,1,2019/20,Recommended to Attend Primary and Community Care,41,852
35-59,E54000041,NHS Dorset Integrated Care Board,E38000045,NHS Dorset ICB - 11J,10,Rural,male,0,0,2021/22,Recommended to Attend A&E,14,240
60-74,E54000008,NHS Cheshire and Merseyside Integrated Care Board,E38000161,NHS Cheshire and Merseyside ICB - 01T,8,Urban,male,0,1,2021/22,Not Recommended to Attend Other Service,4,72
0-19,E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,E38000236,NHS Herefordshire and Worcestershire ICB - 18C,1,Urban,female,0,1,2019/20,Not Recommended to Attend Other Service,72,1476
0-19,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E38000034,NHS Lancashire and South Cumbria ICB - 00X,4,Rural,female,0,0,2019/20,Recommended to Attend A&E,7,168
0-19,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,E38000079,NHS Hertfordshire and West Essex ICB - 06N,NULL,Urban,female,0,1,2020/21,5.27b (Home Care),22,264
0-19,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E38000052,NHS Humber and North Yorkshire ICB - 02Y,NULL,Urban,male,1,1,2020/21,NULL,1,12
75+,E54000061,NHS South Yorkshire Integrated Care Board,E38000044,NHS South Yorkshire ICB - 02X,7,Rural,male,0,0,2021/22,Recommended to Attend A&E,2,48
20-34,E54000026,NHS Mid and South Essex Integrated Care Board,E38000007,NHS Mid and South Essex ICB - 99E,NULL,Urban,male,1,0,2021/22,Recommended to Attend Primary and Community Care,9,108
20-34,E54000054,NHS West Yorkshire Integrated Care Board,E38000025,NHS West Yorkshire ICB - 02T,NULL,Rural,male,0,0,2019/20,5.26 (Other Service),1,12
20-34,E54000023,NHS Suffolk and North East Essex Integrated Care Board,E38000086,NHS Suffolk and North East Essex ICB - 06L,4,Urban,male,0,0,2020/21,Recommended to Attend A&E,76,1128
20-34,E54000038,NHS Somerset Integrated Care Board,E38000150,NHS Somerset ICB - 11X,7,Rural,female,0,0,2019/20,Recommended to Attend Primary and Community Care,135,2268
60-74,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E38000175,NHS Staffordshire and Stoke-on-Trent ICB - 05W,1,Urban,male,1,0,2021/22,5.23 (Ambulance),1,12
60-74,E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,E38000089,NHS Cornwall and the Isles of Scilly ICB - 11N,NULL,Rural,female,0,1,2019/20,NULL,1,12
35-59,E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,E38000008,NHS Nottingham and Nottinghamshire ICB - 02Q,3,Urban,female,0,1,2019/20,Ambulance Dispatches,18,408
35-59,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E38000226,NHS Lancashire and South Cumbria ICB - 02M,10,Rural,male,0,0,2021/22,Not Recommended to Attend Other Service,2,36
60-74,E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,E38000231,NHS Bath and North East Somerset Swindon and Wiltshire ICB - 92G,6,Urban,female,0,1,2019/20,Not Recommended to Attend Other Service,95,1428
20-34,E54000026,NHS Mid and South Essex Integrated Care Board,E38000185,NHS Mid and South Essex ICB - 07G,5,Urban,female,0,1,2020/21,Recommended to Attend Primary and Community Care,382,6288
75+,E54000055,NHS Birmingham and Solihull Integrated Care Board,E38000258,NHS Birmingham and Solihull ICB - 15E,6,Urban,male,0,0,2020/21,5.23 (Ambulance),162,2568
20-34,E54000023,NHS Suffolk and North East Essex Integrated Care Board,E38000086,NHS Suffolk and North East Essex ICB - 06L,10,Urban,female,0,0,2019/20,Recommended to Attend Other Service,27,540
60-74,E54000054,NHS West Yorkshire Integrated Care Board,E38000190,NHS West Yorkshire ICB - 03R,10,Urban,female,0,0,2020/21,5.27b (Home Care),2,48
0-19,E54000013,NHS Lincolnshire Integrated Care Board,E38000238,NHS Lincolnshire ICB - 71E,6,Urban,male,1,1,2019/20,5.23 (Ambulance),1,24
20-34,E54000052,NHS Surrey Heartlands Integrated Care Board,E38000246,NHS Surrey Heartlands ICB - 92A,2,Urban,male,0,0,2021/22,Ambulance Dispatches,5,120
0-19,E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,E38000137,NHS Hampshire and Isle of Wight ICB - 10R,4,Urban,male,0,0,2020/21,5.27b (Home Care),15,240
60-74,E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,E38000243,NHS Nottingham and Nottinghamshire ICB - 52R,4,Urban,female,0,1,2020/21,Ambulance Dispatches,48,852
75+,E54000008,NHS Cheshire and Merseyside Integrated Care Board,E38000208,NHS Cheshire and Merseyside ICB - 12F,2,Urban,female,0,0,2020/21,Recommended to Attend Primary and Community Care,182,3036
0-19,E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,E38000243,NHS Nottingham and Nottinghamshire ICB - 52R,2,Rural,female,0,0,2020/21,Not Recommended to Attend Other Service,34,528
35-59,E54000061,NHS South Yorkshire Integrated Care Board,E38000141,NHS South Yorkshire ICB - 03L,5,Rural,male,0,1,2020/21,5.23 (Ambulance),1,12
35-59,E54000059,NHS Northamptonshire Integrated Care Board,E38000262,NHS Northamptonshire ICB - 78H,7,Urban,female,1,1,2021/22,Recommended to Attend Primary and Community Care,18,408
20-34,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E38000241,NHS Humber and North Yorkshire ICB - 42D,3,Rural,NULL,0,1,2019/20,Recommended to Attend Primary and Community Care,1,24
35-59,E54000023,NHS Suffolk and North East Essex Integrated Care Board,E38000117,NHS Suffolk and North East Essex ICB - 06T,1,Urban,female,0,0,2020/21,5.23 (Ambulance),142,2892
20-34,E54000053,NHS Sussex Integrated Care Board,E38000235,NHS Sussex ICB - 97R,4,Urban,NULL,0,0,2019/20,Recommended to Attend A&E,1,24
75+,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E38000014,NHS Lancashire and South Cumbria ICB - 00Q,1,Urban,female,0,0,2021/22,Recommended to Attend A&E,15,312
75+,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E38000227,NHS Lancashire and South Cumbria ICB - 01E,4,Urban,female,0,0,2021/22,5.23 (Ambulance),27,360
60-74,E54000029,NHS North East London Integrated Care Board,E38000255,NHS North East London ICB - A3A8R,4,Urban,male,0,0,2020/21,Ambulance Dispatches,211,3096
75+,E54000027,NHS North West London Integrated Care Board,E38000256,NHS North West London ICB - W2U3Z,3,Urban,female,1,1,2019/20,5.23 (Ambulance),1,24
60-74,E54000057,NHS Greater Manchester Integrated Care Board,E38000205,NHS Greater Manchester ICB - 02H,4,Urban,male,0,1,2020/21,Recommended to Attend Primary and Community Care,43,912
35-59,E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,E38000097,NHS Leicester Leicestershire and Rutland ICB - 04C,3,Urban,male,0,0,2021/22,5.27b (Home Care),65,1164
35-59,E54000013,NHS Lincolnshire Integrated Care Board,E38000238,NHS Lincolnshire ICB - 71E,1,Urban,female,0,1,2019/20,Recommended to Attend Primary and Community Care,464,9876
60-74,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E38000028,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,3,Urban,female,0,1,2019/20,5.23 (Ambulance),18,336
0-19,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E38000175,NHS Staffordshire and Stoke-on-Trent ICB - 05W,3,Urban,male,0,1,2020/21,5.26 (Other Service),6,108
35-59,E54000013,NHS Lincolnshire Integrated Care Board,E38000238,NHS Lincolnshire ICB - 71E,6,Urban,male,1,1,2019/20,Recommended to Attend Primary and Community Care,9,108
20-34,E54000026,NHS Mid and South Essex Integrated Care Board,E38000185,NHS Mid and South Essex ICB - 07G,9,Urban,female,0,1,2020/21,5.27b (Home Care),6,72
0-19,E54000008,NHS Cheshire and Merseyside Integrated Care Board,E38000233,NHS Cheshire and Merseyside ICB - 27D,NULL,Urban,female,0,1,2021/22,Recommended to Attend Other Service,259,3108
0-19,E54000023,NHS Suffolk and North East Essex Integrated Care Board,E38000117,NHS Suffolk and North East Essex ICB - 06T,8,Rural,male,0,1,2021/22,Not Recommended to Attend Other Service,4,60
35-59,E54000008,NHS Cheshire and Merseyside Integrated Care Board,E38000194,NHS Cheshire and Merseyside ICB - 02E,6,Rural,female,0,1,2020/21,5.26 (Other Service),1,12
0-19,E54000023,NHS Suffolk and North East Essex Integrated Care Board,E38000204,NHS Suffolk and North East Essex ICB - 07K,NULL,Urban,female,0,0,2020/21,5.27b (Home Care),22,264
75+,E54000054,NHS West Yorkshire Integrated Care Board,E38000254,NHS West Yorkshire ICB - X2C4Y,9,Urban,female,0,0,2020/21,5.27b (Home Care),7,96
35-59,E54000054,NHS West Yorkshire Integrated Care Board,E38000190,NHS West Yorkshire ICB - 03R,NULL,Rural,female,0,1,2019/20,Recommended to Attend Other Service,14,168
60-74,E54000050,NHS North East and North Cumbria Integrated Care Board,E38000176,NHS North East and North Cumbria ICB - 00P,4,Urban,female,0,1,2019/20,Recommended to Attend Primary and Community Care,4,72
60-74,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E38000053,NHS Staffordshire and Stoke-on-Trent ICB - 05D,7,Urban,male,0,1,2020/21,Recommended to Attend Other Service,3,36
35-59,E54000018,NHS Coventry and Warwickshire Integrated Care Board,E38000251,NHS Coventry and Warwickshire ICB - B2M3M,NULL,Rural,female,0,0,2019/20,Recommended to Attend A&E,337,4044
75+,E54000050,NHS North East and North Cumbria Integrated Care Board,E38000130,NHS North East and North Cumbria ICB - 00L,NULL,Urban,NULL,0,0,2021/22,NULL,9,108
35-59,E54000032,NHS Kent and Medway Integrated Care Board,E38000237,NHS Kent and Medway ICB - 91Q,NULL,Urban,female,1,1,2021/22,Recommended to Attend Primary and Community Care,8,96
35-59,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E38000119,NHS Humber and North Yorkshire ICB - 03H,10,Urban,female,0,1,2021/22,Recommended to Attend Other Service,1,12
35-59,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,E38000049,NHS Hertfordshire and West Essex ICB - 06K,8,Urban,male,0,1,2019/20,5.26 (Other Service),40,576
60-74,E54000057,NHS Greater Manchester Integrated Care Board,E38000016,NHS Greater Manchester ICB - 00T,NULL,Urban,NULL,0,0,2020/21,5.23 (Ambulance),1,12
75+,E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,E38000137,NHS Hampshire and Isle of Wight ICB - 10R,5,Urban,male,0,1,2020/21,Recommended to Attend Other Service,50,900
20-34,E54000061,NHS South Yorkshire Integrated Care Board,E38000006,NHS South Yorkshire ICB - 02P,2,Urban,female,0,0,2019/20,Ambulance Dispatches,62,1200
35-59,E54000053,NHS Sussex Integrated Care Board,E38000021,NHS Sussex ICB - 09D,NULL,Urban,female,1,1,2021/22,Recommended to Attend A&E,3,36
0-19,E54000022,NHS Norfolk and Waveney Integrated Care Board,E38000239,NHS Norfolk and Waveney ICB - 26A,6,Rural,female,0,1,2019/20,Recommended to Attend Primary and Community Care,404,7392
60-74,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E38000126,NHS Staffordshire and Stoke-on-Trent ICB - 05G,8,Urban,female,0,1,2021/22,Ambulance Dispatches,5,84
75+,E54000026,NHS Mid and South Essex Integrated Care Board,E38000185,NHS Mid and South Essex ICB - 07G,7,Rural,female,0,0,2021/22,5.23 (Ambulance),5,120
75+,E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,E38000222,NHS Bristol North Somerset and South Gloucestershire ICB - 15C,NULL,Urban,female,1,1,2021/22,Ambulance Dispatches,5,60
75+,E54000018,NHS Coventry and Warwickshire Integrated Care Board,E38000251,NHS Coventry and Warwickshire ICB - B2M3M,6,Rural,male,0,1,2021/22,Not Recommended to Attend Other Service,4,96
75+,E54000043,NHS Gloucestershire Integrated Care Board,E38000062,NHS Gloucestershire ICB - 11M,10,Rural,female,0,1,2021/22,Ambulance Dispatches,8,168
20-34,E54000061,NHS South Yorkshire Integrated Care Board,E38000044,NHS South Yorkshire ICB - 02X,8,Urban,female,0,1,2020/21,5.27b (Home Care),4,84
35-59,E54000059,NHS Northamptonshire Integrated Care Board,E38000262,NHS Northamptonshire ICB - 78H,6,Urban,male,1,1,2019/20,Not Recommended to Attend Other Service,1,12
75+,E54000061,NHS South Yorkshire Integrated Care Board,E38000044,NHS South Yorkshire ICB - 02X,1,Urban,female,0,1,2020/21,Not Recommended to Attend Other Service,90,2004
75+,E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,E38000097,NHS Leicester Leicestershire and Rutland ICB - 04C,7,Urban,female,0,0,2021/22,Ambulance Dispatches,18,336
75+,E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,E38000097,NHS Leicester Leicestershire and Rutland ICB - 04C,10,Urban,female,0,0,2020/21,Not Recommended to Attend Other Service,3,36
20-34,E54000053,NHS Sussex Integrated Care Board,E38000021,NHS Sussex ICB - 09D,7,Urban,female,0,1,2021/22,NULL,16,252
35-59,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E38000119,NHS Humber and North Yorkshire ICB - 03H,5,Urban,male,0,0,2020/21,5.27b (Home Care),9,168
0-19,E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,E38000201,NHS Leicester Leicestershire and Rutland ICB - 04V,10,Rural,male,1,1,2019/20,Recommended to Attend A&E,1,24
75+,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E38000052,NHS Humber and North Yorkshire ICB - 02Y,6,Rural,male,0,0,2020/21,5.27b (Home Care),1,12
0-19,E54000026,NHS Mid and South Essex Integrated Care Board,E38000106,NHS Mid and South Essex ICB - 06Q,8,Rural,female,0,0,2019/20,Not Recommended to Attend Other Service,113,1932
60-74,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E38000126,NHS Staffordshire and Stoke-on-Trent ICB - 05G,NULL,Rural,male,0,1,2020/21,5.26 (Other Service),7,84
0-19,E54000050,NHS North East and North Cumbria Integrated Care Board,E38000163,NHS North East and North Cumbria ICB - 00N,1,Urban,female,1,1,2019/20,Ambulance Dispatches,1,24
60-74,E54000057,NHS Greater Manchester Integrated Care Board,E38000080,NHS Greater Manchester ICB - 01D,NULL,Urban,male,0,0,2019/20,5.27b (Home Care),7,84
60-74,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E38000052,NHS Humber and North Yorkshire ICB - 02Y,9,Rural,female,0,1,2021/22,5.23 (Ambulance),13,264
60-74,E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,1,Urban,male,0,1,2021/22,Recommended to Attend Other Service,31,648
60-74,E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,E38000253,NHS Hampshire and Isle of Wight ICB - D9Y0V,7,Urban,female,0,1,2020/21,Recommended to Attend Primary and Community Care,374,6612
35-59,E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,E38000051,NHS Leicester Leicestershire and Rutland ICB - 03W,3,Urban,female,0,0,2019/20,Recommended to Attend Primary and Community Care,245,5412
35-59,E54000050,NHS North East and North Cumbria Integrated Care Board,E38000130,NHS North East and North Cumbria ICB - 00L,2,Urban,female,0,0,2021/22,5.26 (Other Service),2,24
75+,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E38000200,NHS Lancashire and South Cumbria ICB - 02G,NULL,Urban,male,0,1,2019/20,5.26 (Other Service),5,60
35-59,E54000022,NHS Norfolk and Waveney Integrated Care Board,E38000239,NHS Norfolk and Waveney ICB - 26A,NULL,Rural,female,1,1,2020/21,NULL,1,12
20-34,E54000029,NHS North East London Integrated Care Board,E38000255,NHS North East London ICB - A3A8R,9,Urban,male,1,1,2021/22,5.23 (Ambulance),1,12
20-34,E54000059,NHS Northamptonshire Integrated Care Board,E38000262,NHS Northamptonshire ICB - 78H,7,Rural,female,1,1,2020/21,5.23 (Ambulance),5,72
0-19,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E38000226,NHS Lancashire and South Cumbria ICB - 02M,8,Urban,male,0,0,2019/20,Recommended to Attend A&E,64,1044
35-59,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E38000050,NHS Lancashire and South Cumbria ICB - 01A,1,Urban,female,0,1,2021/22,Ambulance Dispatches,61,1380
20-34,E54000061,NHS South Yorkshire Integrated Care Board,E38000006,NHS South Yorkshire ICB - 02P,2,Rural,male,0,0,2021/22,5.26 (Other Service),3,48
20-34,E54000023,NHS Suffolk and North East Essex Integrated Care Board,E38000086,NHS Suffolk and North East Essex ICB - 06L,3,Urban,female,0,0,2019/20,Recommended to Attend Primary and Community Care,726,12108
75+,E54000031,NHS South West London Integrated Care Board,E38000245,NHS South West London ICB - 36L,2,Urban,male,0,1,2020/21,Recommended to Attend Primary and Community Care,141,2748
75+,E54000058,NHS Derby and Derbyshire Integrated Care Board,E38000261,NHS Derby and Derbyshire ICB - 15M,6,Urban,female,0,1,2019/20,Not Recommended to Attend Other Service,249,4764
35-59,E54000013,NHS Lincolnshire Integrated Care Board,E38000238,NHS Lincolnshire ICB - 71E,8,Urban,male,0,1,2019/20,Recommended to Attend A&E,28,408
60-74,E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,E38000008,NHS Nottingham and Nottinghamshire ICB - 02Q,3,Urban,male,0,0,2020/21,Recommended to Attend Other Service,4,72
60-74,E54000057,NHS Greater Manchester Integrated Care Board,E38000135,NHS Greater Manchester ICB - 00Y,2,Urban,male,0,1,2019/20,Recommended to Attend A&E,8,168
75+,E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,E38000097,NHS Leicester Leicestershire and Rutland ICB - 04C,3,Urban,female,0,0,2021/22,Recommended to Attend Primary and Community Care,346,5628
0-19,E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,E38000222,NHS Bristol North Somerset and South Gloucestershire ICB - 15C,5,Rural,female,0,0,2021/22,Recommended to Attend Primary and Community Care,68,1428
35-59,E54000008,NHS Cheshire and Merseyside Integrated Care Board,E38000091,NHS Cheshire and Merseyside ICB - 01J,5,Urban,female,0,1,2020/21,5.26 (Other Service),6,144
0-19,E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,E38000249,NHS Bedfordshire Luton and Milton Keynes ICB - M1J4Y,10,Urban,female,0,1,2019/20,Ambulance Dispatches,7,132
60-74,E54000023,NHS Suffolk and North East Essex Integrated Care Board,E38000117,NHS Suffolk and North East Essex ICB - 06T,9,Urban,male,0,0,2020/21,Recommended to Attend A&E,20,324
75+,E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,E38000249,NHS Bedfordshire Luton and Milton Keynes ICB - M1J4Y,10,Urban,female,0,1,2019/20,5.23 (Ambulance),64,1224
