age_group,ICB22CD,ICB22NM,SICBL22CD,SICBL22NM,IMD_Decile,rural_urban,gender,mh_symptom,mhsds_flag,Der_Financial_Year,MDS_Primary_Split,calls,cost
35-59,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E38000126,NHS Staffordshire and Stoke-on-Trent ICB - 05G,7,Urban,NULL,0,0,2021/22,NULL,15,264
20-34,E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,E38000257,NHS Shropshire Telford and Wrekin ICB - M2L0M,NULL,Urban,male,0,1,2020/21,Not Recommended to Attend Other Service,561,6732
20-34,E54000008,NHS Cheshire and Merseyside Integrated Care Board,E38000101,NHS Cheshire and Merseyside ICB - 99A,10,Urban,male,0,1,2020/21,Recommended to Attend Primary and Community Care,3,72
0-19,E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,E38000137,NHS Hampshire and Isle of Wight ICB - 10R,2,Urban,female,1,1,2020/21,5.26 (Other Service),9,144
20-34,E54000061,NHS South Yorkshire Integrated Care Board,E38000141,NHS South Yorkshire ICB - 03L,2,Urban,male,0,0,2019/20,Ambulance Dispatches,34,660
0-19,E54000050,NHS North East and North Cumbria Integrated Care Board,E38000215,NHS North East and North Cumbria ICB - 01H,10,Urban,male,0,1,2020/21,Recommended to Attend Other Service,2,36
20-34,E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,E38000257,NHS Shropshire Telford and Wrekin ICB - M2L0M,8,Urban,female,0,1,2019/20,Recommended to Attend A&E,40,732
20-34,E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,E38000097,NHS Leicester Leicestershire and Rutland ICB - 04C,1,Urban,male,0,0,2021/22,Recommended to Attend Primary and Community Care,1418,30204
0-19,E54000061,NHS South Yorkshire Integrated Care Board,E38000146,NHS South Yorkshire ICB - 03N,9,Urban,male,0,0,2019/20,Recommended to Attend Other Service,30,492
60-74,E54000023,NHS Suffolk and North East Essex Integrated Care Board,E38000204,NHS Suffolk and North East Essex ICB - 07K,4,Urban,male,0,1,2019/20,5.23 (Ambulance),25,516
20-34,E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,E38000051,NHS Leicester Leicestershire and Rutland ICB - 03W,8,Rural,male,0,1,2020/21,NULL,1,12
60-74,E54000057,NHS Greater Manchester Integrated Care Board,E38000135,NHS Greater Manchester ICB - 00Y,1,Urban,NULL,0,1,2020/21,NULL,9,192
0-19,E54000028,NHS North Central London Integrated Care Board,E38000240,NHS North Central London ICB - 93C,1,Urban,male,0,1,2019/20,Not Recommended to Attend Other Service,51,852
20-34,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E38000015,NHS Lancashire and South Cumbria ICB - 00R,2,Urban,male,0,0,2020/21,5.27b (Home Care),3,36
60-74,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E38000175,NHS Staffordshire and Stoke-on-Trent ICB - 05W,2,Urban,male,0,1,2019/20,Recommended to Attend Primary and Community Care,172,3468
0-19,E54000034,NHS Frimley Integrated Care Board,E38000252,NHS Frimley ICB - D4U1Y,10,Urban,male,0,1,2020/21,5.23 (Ambulance),101,2244
20-34,E54000061,NHS South Yorkshire Integrated Care Board,E38000146,NHS South Yorkshire ICB - 03N,6,Urban,male,0,0,2019/20,5.27b (Home Care),5,60
0-19,E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,5,Rural,female,0,0,2020/21,Ambulance Dispatches,11,168
0-19,E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,E38000137,NHS Hampshire and Isle of Wight ICB - 10R,5,Urban,NULL,0,0,2019/20,Not Recommended to Attend Other Service,44,648
75+,E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,E38000222,NHS Bristol North Somerset and South Gloucestershire ICB - 15C,3,Urban,male,0,1,2019/20,NULL,3,60
0-19,E54000008,NHS Cheshire and Merseyside Integrated Care Board,E38000233,NHS Cheshire and Merseyside ICB - 27D,NULL,Urban,male,0,0,2019/20,Not Recommended to Attend Other Service,1409,16908
75+,E54000026,NHS Mid and South Essex Integrated Care Board,E38000007,NHS Mid and South Essex ICB - 99E,1,Urban,male,0,0,2019/20,Not Recommended to Attend Other Service,4,96
