ICB23CD,ICB23NM,Der_Financial_Year,toa,mh_snomed,attends
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2018/19,17,0,3957
E54000058,NHS Derby and Derbyshire Integrated Care Board,2020/21,11,1,18230
E54000034,NHS Frimley Integrated Care Board,2019/20,8,0,2600
E54000029,NHS North East London Integrated Care Board,2021/22,21,1,18207
E54000064,NHS Sussex Integrated Care Board,2018/19,12,0,1810
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2018/19,6,1,2586
E54000054,NHS West Yorkshire Integrated Care Board,2017/18,19,1,39826
E54000028,NHS North Central London Integrated Care Board,2018/19,5,0,231
E54000031,NHS South West London Integrated Care Board,2018/19,17,1,9454
E54000057,NHS Greater Manchester Integrated Care Board,2020/21,11,1,1415
E54000062,NHS Black Country Integrated Care Board,2019/20,6,1,1226
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2018/19,0,0,9327
E54000058,NHS Derby and Derbyshire Integrated Care Board,2020/21,9,1,19617
E54000023,NHS Suffolk and North East Essex Integrated Care Board,2021/22,13,1,7997
E54000059,NHS Northamptonshire Integrated Care Board,2018/19,20,0,11897
E54000058,NHS Derby and Derbyshire Integrated Care Board,2017/18,9,1,744
E54000037,NHS Devon Integrated Care Board,2017/18,19,1,13150
E54000038,NHS Somerset Integrated Care Board,2017/18,16,1,2977
E54000057,NHS Greater Manchester Integrated Care Board,2017/18,11,1,687
E54000063,NHS Surrey Heartlands Integrated Care Board,2019/20,11,1,16900
E54000057,NHS Greater Manchester Integrated Care Board,2020/21,0,0,11883
E54000022,NHS Norfolk and Waveney Integrated Care Board,2021/22,11,1,9354
E54000026,NHS Mid and South Essex Integrated Care Board,2018/19,5,1,3070
E54000032,NHS Kent and Medway Integrated Care Board,2021/22,22,1,578
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2018/19,8,0,4585
E54000029,NHS North East London Integrated Care Board,2018/19,23,0,2193
E54000030,NHS South East London Integrated Care Board,2017/18,13,0,3475
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2017/18,17,0,13718
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2017/18,20,0,2790
E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,2021/22,1,1,1095
E54000038,NHS Somerset Integrated Care Board,2017/18,22,1,2940
E54000028,NHS North Central London Integrated Care Board,2018/19,13,0,1031
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2020/21,11,1,23462
E54000059,NHS Northamptonshire Integrated Care Board,2019/20,19,0,3073
E54000026,NHS Mid and South Essex Integrated Care Board,2019/20,2,0,809
E54000027,NHS North West London Integrated Care Board,2018/19,19,1,26953
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2021/22,16,0,19888
E54000022,NHS Norfolk and Waveney Integrated Care Board,2021/22,9,1,9884
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2020/21,14,1,7847
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2019/20,21,0,8915
E54000057,NHS Greater Manchester Integrated Care Board,2021/22,15,0,31751
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2019/20,21,1,1827
E54000063,NHS Surrey Heartlands Integrated Care Board,2019/20,9,1,19746
E54000059,NHS Northamptonshire Integrated Care Board,2019/20,12,0,2459
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2021/22,6,0,2408
E54000030,NHS South East London Integrated Care Board,2020/21,14,1,22055
E54000054,NHS West Yorkshire Integrated Care Board,2017/18,17,0,3621
NULL,NULL,2019/20,13,1,2
E54000062,NHS Black Country Integrated Care Board,2018/19,12,1,7879
E54000043,NHS Gloucestershire Integrated Care Board,2021/22,19,1,4420
E54000037,NHS Devon Integrated Care Board,2021/22,9,1,564
E54000037,NHS Devon Integrated Care Board,2021/22,11,1,668
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,7,1,386
E54000029,NHS North East London Integrated Care Board,2019/20,18,1,23268
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2017/18,7,1,3378
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2017/18,7,1,4169
E54000058,NHS Derby and Derbyshire Integrated Care Board,2020/21,3,0,1142
E54000023,NHS Suffolk and North East Essex Integrated Care Board,2020/21,13,0,6490
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2021/22,10,1,968
E54000031,NHS South West London Integrated Care Board,2020/21,12,1,12160
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2020/21,7,1,3494
E54000037,NHS Devon Integrated Care Board,2021/22,21,0,301
E54000041,NHS Dorset Integrated Care Board,2019/20,11,1,9526
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2020/21,12,1,16209
E54000029,NHS North East London Integrated Care Board,2019/20,3,0,3180
E54000030,NHS South East London Integrated Care Board,2021/22,22,1,12714
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2017/18,16,1,3400
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2018/19,23,1,263
E54000050,NHS North East and North Cumbria Integrated Care Board,2019/20,16,1,885
E54000057,NHS Greater Manchester Integrated Care Board,2017/18,11,0,26457
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2021/22,21,1,212
E54000054,NHS West Yorkshire Integrated Care Board,2018/19,22,0,3917
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2021/22,15,1,296
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2020/21,15,0,11807
E54000041,NHS Dorset Integrated Care Board,2019/20,9,1,11608
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2019/20,11,1,16054
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2019/20,3,1,36
E54000030,NHS South East London Integrated Care Board,2020/21,1,1,6053
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2021/22,18,0,5337
E54000061,NHS South Yorkshire Integrated Care Board,2020/21,14,0,5335
E54000026,NHS Mid and South Essex Integrated Care Board,2018/19,20,1,15491
E54000058,NHS Derby and Derbyshire Integrated Care Board,2021/22,18,0,5335
E54000063,NHS Surrey Heartlands Integrated Care Board,2018/19,15,0,1411
E54000031,NHS South West London Integrated Care Board,2019/20,1,0,2896
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2019/20,21,1,7497
E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,2019/20,16,0,5836
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2020/21,6,1,1526
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2018/19,8,1,1630
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2017/18,4,1,1009
