ICB23CD,ICB23NM,Der_Financial_Year,toa,mh_snomed,attends
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2020/21,13,0,8506
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2021/22,0,0,2866
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2019/20,11,0,20428
E54000050,NHS North East and North Cumbria Integrated Care Board,2020/21,23,0,2121
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2019/20,10,1,15167
E54000029,NHS North East London Integrated Care Board,2021/22,18,0,19449
E54000030,NHS South East London Integrated Care Board,2019/20,5,1,4735
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2021/22,21,0,185
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2018/19,14,1,468
E54000055,NHS Birmingham and Solihull Integrated Care Board,2018/19,5,1,1708
E54000028,NHS North Central London Integrated Care Board,2017/18,20,1,895
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2019/20,12,1,8844
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2017/18,10,0,651
E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,2018/19,15,1,6085
E54000022,NHS Norfolk and Waveney Integrated Care Board,2021/22,6,0,1144
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2021/22,22,0,184
E54000063,NHS Surrey Heartlands Integrated Care Board,2017/18,18,0,959
E54000037,NHS Devon Integrated Care Board,2018/19,6,0,1676
E54000029,NHS North East London Integrated Care Board,2017/18,4,0,1970
