sections_all,mha_spells
20-20-02-05-05,1
12-12-10,1
03-03-03-02,1
03-03-03-01-20,1
03-03-06-05-03,1
16-32,1
19-03-03-03-98-98,1
02-03-03-10,1
03-03-01-05,1
20-03-01,1
08-07-03,1
03-03-98-98-98,1
32-03-32-32-03-32,1
03-01-01-05-02,1
12-10-10-10,1
03-10-10,1
05-03-20-20,1
03-32-32-03-03-03,1
03-03-32-32-03-32-20-32,1
20-05-02-02-03,1
03-01-01,1
03-99-03-99-03-99,1
03-03-03-03-03-03-98-98-98,1
02-02-05-02-03,1
03-03-05-03-03,1
01-20-03,1
02-03-10-20,1
08-12,1
02-03-99-99-99,1
03-05-03-05-03,1
02-01-05,1
05-02-20-02-20,1
05-03-03-03-03-03,1
99-99-99,1
03-02-03-03-04,1
02-03-06-03,1
32-32-32-32-98-98-10,1
20-20-02-02-03-03,1
20-02-03-05,1
03-05-05-03,1
05-05-06-05,1
06-02-05-02,1
20-20-20-20,1
02-03-10-10-98-98,1
03-03-03-05-05,1
20-05-20,1
02-03-03-02-03-03,1
03-03-03-03-35,1
05-06-05-20,1
09,1
20-02-20-02-20,1
02-02-03-03-05-03-03,1
19-02-03-03-32-32-32,1
10-10-32,1
98-03-98-03-98-03,1
20-02-XX,1
05-05-02-02-03-03,1
32-03-32-03-32,1
46,1
01-01-03,1
02-03-06-05,1
05-02-02-03-03-03,1
02-02-02-03-03-02-03,1
02-32,1
03-32-32-03-32-32,1
02-03-32-03-32-03-32-03-32-03,1
05-05-02-03-03,1
15-10-10,1
02-03-01-01-01-01,1
06-05-02-05,1
35,1
02-03-03-01-03-01,1
98-03-32-03-03,1
20-02-03-17,1
03-32-03,1
20-20-02-03-99-20,1
02-02-03-03-03-03,1
05-02-05-03,1
20-05-03,1
06-02-03-03,1
02-02-03-01-98,1
05-02-03-05,1
03-12-12,1
06-05-03-98,1
05-02-20,1
03-03-01-01-01,1
15-10,1
01-02-05-04-03,1
98-98-98-20-98,1
19-10-19,1
CT,1
02-02-20-20,1
32-32-32-32,1
20-02-02-02-03-03-03,1
03-12-12-10-10-10-10-10,1
99-03-99-03-99,1
03-06,1
06-06-05-06-05,1
02-02-02-03-03-03,1
02-05-05-03-03,1
02-06-05-02,1
03-01-32,1
XX,1
06-05-03-98-98,1
03-10-19,1
06-05-03-03-03-03,1
12-10-98,1
02-03-03-98-98-98-98,1
05-02-03-06-05,1
03-32-32-03-32-32-03-32,1
20-06-05-02-03,1
12-12-12-10,1
03-03-19,1
99-03-03-17,1
02-03-12,1
12-12-12-07,1
20-02-03-98-98-99-98,1
05-03-03-98,1
03-03-03-03-03-98-01-98,1
05-02-03-05-03,1
20-02-03-03-01,1
32-03-32-03-03,1
02-03-03-03-03-02-03,1
02-05-03-02-03-99-99,1
06-05-19,1
20-05-02-03-03,1
20-20-02-03-03-03-03-03-03,1
05-02-03-03-02,1
32-16,1
02-01-02,1
02-05-05-03,1
06-05-03-02-03,1
05-02-03-03-03-12,1
02-12,1
32-03-03-03-32-32,1
02-10,1
03-03-10,1
03-03-03-05,1
10-10-98-98,1
99-03-03-99,1
05-03-98-98,1
03-03-05-02-03,1
20-02-02-20,1
20-04-02-03,1
98-19-98,1
99-03,1
37-98,1
98-20-98,1
02-03-98-20-98,1
02-20-03,1
37-37-37,1
99-02-03,1
37-37,1
32-16-32,1
19-02-05-03,1
02-03-03-03-03-10-10,1
02-03-01-01-01,1
02-02-02-02-03,1
20-02-03-03-05-03,1
03-03-03-03-02,1
02-03-07-07-08,1
12-03,1
20-02-05-02-03,1
03-03-98-20-98,1
02-03-01-01,1
16-05-02,1
20-02-03-32-32,1
06-06-05-02,1
03-03-03-20,1
20-02-02-02-03-03,1
06-02-05,1
03-03-03-98,1
03-98-03-98-03-98,1
02-01-03,1
02-03-03-98-98-03-03,1
98-98-20,1
03-03-03-03-02-03,1
02-03-05-03-32,1
02-05-05,1
02-03-03-01-01,1
02-03-03-03-20,1
20-02-01,1
01-01-01,1
03-03-03-03-03-03-03,1
02-02-03-99-03-03,1
02-03-20-02-02-03,1
01-05-03,1
06-05-20,1
19-02-03-32-32-32,1
03-20-20,1
05-03-01-01,1
20-03-05-03-03,1
02-07-12,1
02-03-01-20,1
05-05-06-03,1
03-20-03-03-05,1
03-01-03,1
17-02,1
12-12-12-10-10-10-10,1
20-19-03-03,1
03-03-03-99-99,1
06-05-05-05,1
03-03-03-98-03-01,1
08-03-10,1
20-02-01-05,1
03-05-05-03-03-03,1
03-05-03-03-98-98,1
06-05-02-03-03-03-03-03-03-06-05-03,1
08-10,1
03-03-03-03-03-03-03-03-98-98-98,1
02-03-99-03,1
02-02-03-03-02,1
10-10-10-32-03-10,1
10-20,1
05-03-03-03-10,1
05-03-98-03-98-03-98,1
01-03-01,1
03-03-03-03-99,1
06-05-06-05-05,1
20-02-03-03-98-20-98,1
03-03-02-02-03,1
02-03-03-03-03-03-03-01-01,1
36,1
05-02-02-03-03-03-03,1
02-03-20,1
02-03-05-03-03,1
20-05-03-03,1
05-02-03-02-04-02,1
02-05-02-03-03,1
05-03-01-20,1
02-05-03-03-02-03-03-03,1
03-03-05-02-02,1
02-03-03-03-01-01-01,1
03-35,1
02-03-17,1
16-16-16-16-16-16,1
02-03-03-01-01-01,1
20-02-02-05-05-05-03,1
03-32-03-03-32-03,1
02-03-03-20-02-03,1
03-98-32,1
19-20,1
03-03-05,1
12-12-12-12-10-10-10,1
07-07-10,1
20-06-05,1
20-02-03-03-03-03-03-98-98-98,1
05-03-32-32,1
32-02-03-03,1
02-04-02,1
05-02-05-05,1
32-32-03-32-32,1
10-10-10-10-10-98-98,1
98-03,1
03-03-03-20-02,1
03-03-03-32-03,1
03-03-03-03-03-32,1
06-05-03-05-03,1
05-03-03-01-01-01,1
05-03-03-03-03-03-03-03-03-03-03-03-03,1
06-02-02-03-03,1
19-03-03-03,1
05-04-05,1
15-16,1
02-03-03-03-03-98-98,1
05-02-03-03-03-03-03,1
20-02-03-03-02,1
03-20-02-02,1
06-05-06-02,1
02-98,1
02-02-19-02-03,1
02-02-03-03-03-02-03-03,1
20-06-05-03-03-03,1
06-05-02-03-98-98-98,1
02-03-03-10-03,1
02-03-32-05,1
01-05,1
02-03-03-03-01-01,1
98-20,1
03-03-03-03-32-32,1
01-05-02-03,1
02-03-03-03-10,1
03-98-03-03-03,1
02-03-99,1
05-06-05-02,1
06-05-03-03-03-03-03-03,1
03-03-03-03-03-98-98,1
02-05-02-02-03,1
12-12-12-12-12,1
06-05-06-03,1
05-02-05-03-05-03,1
05-03-99,1
18,1
03-03-03-01-01,1
19-03-03-98-98,1
