Integrated care boards Code,Integrated care boards,Ethnic group (20 categories) Code,Ethnic group (20 categories),Age (7 categories) Code,Age (7 categories),Observation
E54000008,NHS Cheshire and Merseyside Integrated Care Board,5,"Asian, Asian British or Asian Welsh: Other Asian",6,Aged 25 to 29 years,1321
E54000008,NHS Cheshire and Merseyside Integrated Care Board,5,"Asian, Asian British or Asian Welsh: Other Asian",7,Aged 30 years and over,10565
E54000008,NHS Cheshire and Merseyside Integrated Care Board,6,"Black, Black British, Black Welsh, Caribbean or African: African",1,Aged 4 years and under,1579
E54000008,NHS Cheshire and Merseyside Integrated Care Board,6,"Black, Black British, Black Welsh, Caribbean or African: African",2,Aged 5 to 15 years,3521
E54000008,NHS Cheshire and Merseyside Integrated Care Board,6,"Black, Black British, Black Welsh, Caribbean or African: African",3,Aged 16 to 17 years,549
E54000008,NHS Cheshire and Merseyside Integrated Care Board,6,"Black, Black British, Black Welsh, Caribbean or African: African",4,Aged 18 to 20 years,1025
E54000008,NHS Cheshire and Merseyside Integrated Care Board,6,"Black, Black British, Black Welsh, Caribbean or African: African",5,Aged 21 to 24 years,1251
E54000008,NHS Cheshire and Merseyside Integrated Care Board,6,"Black, Black British, Black Welsh, Caribbean or African: African",6,Aged 25 to 29 years,1826
E54000008,NHS Cheshire and Merseyside Integrated Care Board,6,"Black, Black British, Black Welsh, Caribbean or African: African",7,Aged 30 years and over,10695
E54000008,NHS Cheshire and Merseyside Integrated Care Board,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",1,Aged 4 years and under,80
E54000008,NHS Cheshire and Merseyside Integrated Care Board,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",2,Aged 5 to 15 years,264
E54000008,NHS Cheshire and Merseyside Integrated Care Board,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",3,Aged 16 to 17 years,61
E54000008,NHS Cheshire and Merseyside Integrated Care Board,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",4,Aged 18 to 20 years,197
E54000008,NHS Cheshire and Merseyside Integrated Care Board,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",5,Aged 21 to 24 years,223
E54000008,NHS Cheshire and Merseyside Integrated Care Board,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",6,Aged 25 to 29 years,270
E54000008,NHS Cheshire and Merseyside Integrated Care Board,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",7,Aged 30 years and over,2614
E54000008,NHS Cheshire and Merseyside Integrated Care Board,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",1,Aged 4 years and under,509
E54000008,NHS Cheshire and Merseyside Integrated Care Board,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",2,Aged 5 to 15 years,1223
E54000008,NHS Cheshire and Merseyside Integrated Care Board,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",3,Aged 16 to 17 years,175
E54000008,NHS Cheshire and Merseyside Integrated Care Board,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",4,Aged 18 to 20 years,185
